bug,file_name
ADD,humanevaljava_ADD_0.diff
ADD_EVEN_AT_ODD,humanevaljava_ADD_EVEN_AT_ODD_0.diff
ALL_PREFIXES,humanevaljava_ALL_PREFIXES_0.diff
ANY_INT,humanevaljava_ANY_INT_0.diff
BELOW_THRESHOLD,humanevaljava_BELOW_THRESHOLD_0.diff
BELOW_ZERO,humanevaljava_BELOW_ZERO_0.diff
CAR_RACE_COLLISION,humanevaljava_CAR_RACE_COLLISION_0.diff
COMPARE,humanevaljava_COMPARE_0.diff
CONCATENATE,humanevaljava_CONCATENATE_0.diff
CORRECT_BRACKETING,humanevaljava_CORRECT_BRACKETING_0.diff
COUNT_UPPER,humanevaljava_COUNT_UPPER_0.diff
DECIMAL_TO_BINARY,humanevaljava_DECIMAL_TO_BINARY_0.diff
DIGIT_SUM,humanevaljava_DIGIT_SUM_0.diff
DOUBLE_THE_DIFFERENCE,humanevaljava_DOUBLE_THE_DIFFERENCE_0.diff
FACTORIZE,humanevaljava_FACTORIZE_0.diff
FILTER_BY_PREFIX,humanevaljava_FILTER_BY_PREFIX_0.diff
FILTER_BY_SUBSTRING,humanevaljava_FILTER_BY_SUBSTRING_0.diff
FILTER_INTEGERS,humanevaljava_FILTER_INTEGERS_0.diff
FLIP_CASE,humanevaljava_FLIP_CASE_0.diff
GET_CLOSET_VOWEL,humanevaljava_GET_CLOSET_VOWEL_0.diff
GET_MAX_TRIPLES,humanevaljava_GET_MAX_TRIPLES_0.diff
GET_POSITIVE,humanevaljava_GET_POSITIVE_0.diff
HAS_CLOSE_ELEMENTS,humanevaljava_HAS_CLOSE_ELEMENTS_0.diff
HEX_KEY,humanevaljava_HEX_KEY_0.diff
INCR_LIST,humanevaljava_INCR_LIST_0.diff
INTERSPERSE,humanevaljava_INTERSPERSE_0.diff
IS_SIMPLE_POWER,humanevaljava_IS_SIMPLE_POWER_0.diff
MATCH_PARENS,humanevaljava_MATCH_PARENS_0.diff
MAX_FILL,humanevaljava_MAX_FILL_0.diff
MEAN_ABSOLUTE_DEVIATION,humanevaljava_MEAN_ABSOLUTE_DEVIATION_0.diff
MODP,humanevaljava_MODP_0.diff
NUMERICAL_LETTER_GRADE,humanevaljava_NUMERICAL_LETTER_GRADE_0.diff
PAIRS_SUM_TO_ZERO,humanevaljava_PAIRS_SUM_TO_ZERO_0.diff
PLUCK,humanevaljava_PLUCK_0.diff
SPLIT_WORDS,humanevaljava_SPLIT_WORDS_0.diff
STRLEN,humanevaljava_STRLEN_0.diff
SUM_SQUARES,humanevaljava_SUM_SQUARES_0.diff
TOTAL_MATCH,humanevaljava_TOTAL_MATCH_0.diff
UNIQUE_DIGITS,humanevaljava_UNIQUE_DIGITS_0.diff
